key_0,main_image,product_title,seller_name,price_final,price_original,discount_percent,brand,model,RAM,ROM,OS,screen_size,warranty,battery_capacity
92,https://img.lazcdn.com/g/p/88036aff56da54e1dafcb8a56ec0f5bd.jpg_720x720q80.jpg_.webp,điện thoại 0PP0 Ren012 5G (12GB/256GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng,Thanh Hậu Mobile,950000,1900000,50,-1,Ren012,12,512,Android 14,6.7,12,5000
93,https://img.lazcdn.com/g/p/a4a317aaa363f909b0125c001e29efa0.jpg_720x720q80.jpg_.webp,"Điện thoại Red.mi Note 11 pro 2sim ram 8G/128G, Cấu hình mạnh, cày game nặng siêu mượt, VÂN TAY OK",Thắng Vũ Store,800000,1600000,50,xiaomi,Redmi Note 11 Pro,8,128,"Android 11, MIUI 12.5",6.67,-1,5000
94,https://img.lazcdn.com/g/p/d76f42e27822f7085eefd5efcbc0fbf4.png_720x720q80.png_.webp,"Điện thoại cảm ứng giá rẻ Samsung Galaxy J2 prime/G532 (1,5/8GB) 2 sim chính hãng màn hình lớn",bx568,470000,500000,6,samsung,Galaxy J2 Prime,-1,-1,-1,-1,-1,-1
95,https://img.lazcdn.com/g/p/8acf046fca9c180c128ddfd1239db733.jpg_720x720q80.jpg_.webp,"điện thoại 0PP0 Ren0 10pr0 5G (12GB/256GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng""",Hiền Cua Store,1100000,-1,-1,oppo,Ren0 10pr0,12,256,-1,6.7,12,4600
97,https://img.lazcdn.com/g/p/e2cf29b6947eb9f52be54464d0267127.jpg_720x720q80.jpg_.webp,Điện thoại Realme C2 2SIM Cấu hình Ram 2/32G Màn hình tràn viền Pin Trâu,Nguyên Lê Store,695466,1400000,50,realme,C2,-1,-1,-1,6.1,-1,-1
98,https://img.lazcdn.com/g/p/31027d98f5daf81a4ec880ae102ea46f.jpg_720x720q80.jpg_.webp,"điện thoại 0PP0 Ren012 5G (12GB/256GB) | Chính Hãng, mới 100% bảo hành 12 tháng toàn quốc",Minh Thành Mobile 88,950000,1900000,50,oppo,Ren012,12,512,Android 14,6.7,12,5000
99,https://img.lazcdn.com/g/p/09690e5a3d594637b503730822509ecc.jpg_720x720q80.jpg_.webp,"Điện thoại Ss M51 2sim ram 8G/128G, Cấu hình Cao Chiến mọi Game mượt, Chụp ảnh đẹp, VÂN TAY OK",Thắng Vũ Store,700000,1400000,50,samsung,M51,6,128,Android 10,6.7,-1,7000
100,https://img.lazcdn.com/g/p/6c801c701ec143648e423fcb82772dcc.jpg_720x720q80.jpg_.webp,S23 Ultra HD điện thoại 7.3 inch bộ nhớ lớn 16 + 1TB Android điện thoại máy ảnh 48+108MP HD Pixel điện thoại di động,Linh Phạm Store99,928000,1856000,50,samsung,S23 Ultra HD,-1,-1,Android,-1,-1,-1
101,https://img.lazcdn.com/g/ff/kf/Sa0cfdd79cdcf41e8a811fe0d14e501c9d.jpg_720x720q80.jpg_.webp,Hộp Thoại IDF 50 đôi đầy đủ đế gắn và phiến,Vật Tư Viễn Thông Giá Tốt,247000,-1,-1,-1,IDF 50,-1,-1,-1,-1,-1,-1
102,https://img.lazcdn.com/g/ff/kf/S7aabe5ee147741e585b78473428a26c7U.jpg_720x720q80.jpg_.webp,"Điện thoại cũ SS J5 Prime ram 2gb/16gb , máy đẹp giá rẻ",Minh Quân Mobile 1604193704,429000,469000,9,samsung,-1,-1,-1,-1,-1,-1,-1
103,https://img.lazcdn.com/g/p/14502e16da2f013d6b77bf07b5f08305.jpg_720x720q80.jpg_.webp,"Điện thoại oukitel  wp21 (Ram 12Gb,Rom 256Gb ,chống sốc,chống nước,pin khủng, pin 9.800mAh)",Thắng Vũ Store,1109000,2218000,50,oukitel,wp21,12,256,-1,-1,-1,9800
104,https://img.lazcdn.com/g/p/724767a6ee1a8450f63d74b616647f8d.jpg_720x720q80.jpg_.webp,"Điện thoại SS A32 máy 2sim ram 6G/128G Chính Hãng, VÂN TAY OK",Thắng Vũ Store,800000,1600000,50,samsung,A32,6,128,Android 11,6.4,-1,5000
105,https://img.lazcdn.com/g/ff/kf/Sd213a80113014fe09c65fba96831c4adJ.jpg_720x720q80.jpg_.webp,Samsung j7 pro chính hãng,Thế Giới Điện Thoại Hải Nam,1190000,-1,-1,samsung,j7 pro,3,-1,,-1.0,12,-1
106,https://img.lazcdn.com/g/ff/kf/S81714f6ef2074eb4b798d1642f9564b2J.jpg_720x720q80.jpg_.webp,Samsung Galaxy Z Flip3 5G 8/128GB Màn sáng đẹp Không ám / không chấm mực Đẹp tuyển chọn Kèm Phụ Kiện,PlayMobile - smartphone,5990000,-1,-1,samsung,Galaxy Z Flip3 5G,8,128,-1,-1,-1,-1
107,https://img.lazcdn.com/g/p/5c38be3cbe7e4ccfbf3e77a84fc4878d.jpg_720x720q80.jpg_.webp,"Điện thoại Oukitel WP19 Pin 21000mAh, Vua pin siêu bền, Ram 8G Rom 256G Chính Hãng (tặng cáp bảo vệ sạc)",Thắng Vũ Store,959000,1918000,50,oukitel,WP19,-1,-1,-1,-1,-1,21000
108,https://img.lazcdn.com/g/p/674c91cf325950e41cd7550b3f1864cd.jpg_720x720q80.jpg_.webp,điện thoại 0PP0 Ren08pr0 5G (12GB/256GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng,Thắng Vũ Store,900000,1800000,50,oppo,Ren08pr0,12,256,"Android 12, ColorOS 12.1",6.7,12,4500
109,https://img.lazcdn.com/g/p/0853ab5c4086c673c644c09fb709e45f.jpg_720x720q80.jpg_.webp,Hộp thoại IDF 100 đôi đầy đủ đế gắn và phiến,Vật Tư Viễn Thông Giá Tốt,453000,-1,-1,-1,IDF 100,-1,-1,-1,-1.0,-1,-1
110,https://img.lazcdn.com/g/p/007c3af28afea99fb048a87be68d07c9.jpg_720x720q80.jpg_.webp,"Điện thoại  Redmi_n0te 12 Ram 8GB/128GB pin 5000 mAh máy chính hãng, bảo hành 12 tháng",Thắng Vũ Store,800000,1600000,50,xiaomi,Redmi Note 12,8,128,Android 13,6.67,12,5000
111,https://img.lazcdn.com/g/ff/kf/S9beaae070a37430fb8fc6635e0bcca02l.jpg_720x720q80.jpg_.webp,điện thoại 5s,muaban797,740000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
112,https://img.lazcdn.com/g/p/07d342c3396f8281209394b2c0b0f890.jpg_720x720q80.jpg_.webp,Sạc nhanh Bán giá rẻ Bộ nhớ 8+128GB handphone mướt game Mobile Bảo hành miễn phí điện thoại pin trâu Sạc nhanh điện thoại thông minh Mạng 4G điện thoại giá siêu rẻ Pin Lớn 4800mAh giá rẻ học sinh Camera 18+8MP Rino4  Androi,Hpa2w32,1107836,2160513,49,-1,Rino4,8,128,Android,-1,1,4800
113,https://img.lazcdn.com/g/p/a087d9bfa307d4e466610d037fdda1ab.jpg_720x720q80.jpg_.webp,mới nguyên bản Camera 108/50MP  điện thoại thông minh đánh mọi gaming nặng chất đt thông minh giá rẻ Bộ nhớ 12+512GB điện thoại giá 1kk Vi xử lý 10 nhân Mới 100% Siêu CPU Điện thoại tầm trung Cấu hình mạnh đỉnh Điện,gbc2v210,2762640,-1,-1,-1,-1,12,512,-1,-1,1,-1
114,https://img.lazcdn.com/g/p/d947cd36b4638b98cbbd01269c59a3f1.jpg_720x720q80.jpg_.webp,"điện thoại Samsung Galaxy A50 máy 2sim Ram 4G/64G Chính Hãng, lướt Wed Tiktok Facebook Youtube chất, Bảo hành 12 tháng",THUYDIEM SMP,1250000,1888000,34,samsung,Galaxy A50,4,64,Android 9.0 (Pie),6.4,12,4000
115,https://img.lazcdn.com/g/p/549fc3fa7ee835d11af459d03d8cbd37.jpg_720x720q80.jpg_.webp,"Điện thoại SS 22ut máy 2sim ram 12G/256G Chính Hãng, bảo hành 12 tháng máy mới 100%",Minh Thành Mobile 88,1075000,2150000,50,samsung,22ut,-1,-1,-1,-1,-1,-1
116,https://img.lazcdn.com/g/ff/kf/S929631e876614ecda7e11f8262f698cdi.jpg_720x720q80.jpg_.webp,Hộp Thoại IDF 30 đôi đầy đủ đế gắn và phiến,Vật Tư Viễn Thông Giá Tốt,206000,-1,-1,-1,IDF 30,-1,-1,-1,-1.0,-1,-1
117,https://img.lazcdn.com/g/p/674c91cf325950e41cd7550b3f1864cd.jpg_720x720q80.jpg_.webp,điện thoại 0PP0 Ren08pr0 5G (12GB/256GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng,Thanh Hậu Mobile,900000,1800000,50,oppo,Ren08pr0,12,256,"Android 12, ColorOS 12.1",6.7,12,4500
119,https://img.lazcdn.com/g/ff/kf/Sce9e580dd06646baa5e5e68a796271a1z.jpg_720x720q80.jpg_.webp,Samsung a20s chính hãng cấu hình mạnh,Thế Giới Điện Thoại Hải Nam,950000,1790000,47,samsung,a20s,3,32,-1,5.5,12,-1
120,https://img.lazcdn.com/g/p/ab259cb234a37d277b4461c5afd3b1e3.jpg_720x720q80.jpg_.webp,[Chính hãng]Điện thoại 0PP0_A3 pro 5G - (BH 12 tháng Lỗi 1 đổi 1 trong 30 ngày),Hiền Cua Store,800000,-1,-1,oppo,A3 pro 5G,-1,-1,"Android 14, ColorOS 14",6.67,12,5100
121,https://img.lazcdn.com/g/ot/common/3ba8f8f7c2c542eea3f0ed73351f6d84.png_720x720q80.png_.webp,"Điện thoại Samsung Galaxy A35 5G ( 8GB - 128GB ) - Hàng chính hãng, Mới 100%, Bảo hành 12 tháng",HAPPY PHONE MALL,8290000,-1,-1,samsung,Galaxy A35 5G,8,128,Android 14,6.6,12,5000
122,https://img.lazcdn.com/g/p/939d435e2e7f9dd5c3dbb518d932dd6f.jpg_720x720q80.jpg_.webp,"Điện thoại chắc chắn Oukitel WP28 S (Màn hình HD 6,52"",pin 10600mAh,NFC,Ram 16GB(4+12),Rom 128GB, Android 14, Camera13M)",Thắng Vũ Store,1009000,2018000,50,oukitel,WP28 S,-1,128,Android 14,6.52,-1,10600
123,https://img.lazcdn.com/g/p/e78309226d73fec5f8c33fc0856f35be.jpg_720x720q80.jpg_.webp,"điện thoại 0PP0 Ren08pr0 5G (12GB/256GB) | Chính Hãng, mới 100% bảo hành 12 tháng toàn quốc",Duy Chiến Mobile,905000,1810000,50,oppo,Ren08pr0 5G,12,256,Android 12,6.7,12,4500
124,https://img.lazcdn.com/g/p/9b095e25df555170a3338be4f1e2e1ad.jpg_720x720q80.jpg_.webp,"Điện thoại di động chắc chắn Oukitel WP32 Pro, RAM 24Gb(6GB + 18GB),ROM 256GB,Màn hình 6 inch HD,camera 20MP, NFC)",Duy Chiến Mobile,1025000,2050000,50,oukitel,WP32 Pro,24,256,-1,6.0,-1,-1
126,https://img.lazcdn.com/g/p/ecb291cbed736f559304dd911a7c2bba.jpg_720x720q80.jpg_.webp,Global Version Sạc nhanh Chính hãng Android handphone mướt game Điện thoại Thẻ 2 sim viettel giá rẻ Smartphone Bảo hành miễn phí đien thoại giá rẻ nhất 6.7inch điện thoại rẻ cho học sinh CPU Siêu Android phone Bộ nhớ 16+512G,Ai cửa hàng kỹ thuật số,1218228,2376930,49,-1,-1,16,512,Android,6.7,-1,-1
127,https://img.lazcdn.com/g/p/ab259cb234a37d277b4461c5afd3b1e3.jpg_720x720q80.jpg_.webp,[Chính hãng]Điện thoại 0PP0_A3 pro 5G - (BH 12 tháng Lỗi 1 đổi 1 trong 30 ngày),Lê Hân Store6,800000,-1,-1,oppo,A3 Pro,-1,-1,Android 14,6.67,12,5100
128,https://img.lazcdn.com/g/p/ecda296d10252e4711e37f4fe69ce5c1.jpg_720x720q80.jpg_.webp,test测试 4G Nguyên bản mới Thẻ 2 sim viettel giá rẻ Điện thoại di động Camera 64,Ai cửa hàng kỹ thuật số,969317,1900621,49,-1,-1,-1,-1,-1,-1,1,-1
130,https://img.lazcdn.com/g/p/5902f9c37479817cea7fcb870f00bb93.jpg_720x720q80.jpg_.webp,"Điện thoại siêu phẩm SS_ A72 5G (8GB/256GB) hàng chính hãng mới 100%, Bảo hành chính hãng 12 tháng trên toàn quốc",Ngọc Kem Store,347500,695000,50,samsung,A72 5G,8,256,Android 11,6.7,12,5000
132,https://img.lazcdn.com/g/p/a247e173b8c0f83250f8e1971508ed95.jpg_720x720q80.jpg_.webp,"ĐIỆN THOẠI IP6G  - Bản 32G - PYPASS LẮP SIM NGHE GỌI OK - MẤT VÂN TAY - TẢI GAME, ZALO, FACEBOOK, TIKTOK, YOUTUBE",THANH TÙNG APPLE 1,900000,-1,-1,-1,-1,-1,32,-1,-1,-1,-1
133,https://img.lazcdn.com/g/p/78967ecfdc37b80cd77d387101622de1.jpg_720x720q80.jpg_.webp,"Điện thoại xia0mi. Mi 13 Utra 912gb/256gb) Chính Hãng, mới 100% bảo hành 12 tháng toàn quốc",Duy Chiến Mobile,850000,1700000,50,xiaomi,Mi 13 Ultra,12,256,Android 13,6.73,-1,5000
134,https://img.lazcdn.com/g/p/ea96c7eb07112f2faf8282e6d3bdac3d.jpg_720x720q80.jpg_.webp,điện thoại 0PP0 A53 (128GB) |Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng,Trường An Mobile,650000,1300000,50,oppo,A53,4,128,"Android 10, ColorOS 7.2",6.5,12,5000
135,https://img.lazcdn.com/g/p/549fc3fa7ee835d11af459d03d8cbd37.jpg_720x720q80.jpg_.webp,"Điện thoại SS 22ut máy 2sim ram 12G/256G Chính Hãng, bảo hành 12 tháng máy mới 100%",Duy Chiến Mobile,1075000,2150000,50,samsung,-1,12,256,"Android 12, One UI 4.1",6.8,12,5000
136,https://img.lazcdn.com/g/p/146a412a93daf3c7d8058c8f7ab75c90.jpg_720x720q80.jpg_.webp,"Ulefone Armor mini 20T Pro 5G ( có camera nhiệt,màn hình 4,7"", Android 14, 6200 mAh, RAM 16 GB (8+8), ROM 256 GB)",Thu Hồng Mobile,1200000,2400000,50,-1,Armor mini 20T Pro,16,256,Android 14,4.7,-1,6200
137,https://img.lazcdn.com/g/ff/kf/S5aaaa392532e487c95fb9bf68e867a37V.jpg_720x720q80.jpg_.webp,Điện Thoại Thông Minh Giá Rẻ Samsung Galaxy J2 prime G532 Hỗ Trợ 4G Máy Cũ Tân Trang,Smartchoice 247,270000,600000,55,samsung,Galaxy J2 Prime G532,1.5,8,-1,5.0,-1,2600
138,https://img.lazcdn.com/g/p/857100c619ff722fa2778d31fb3f04a4.jpg_720x720q80.jpg_.webp,điện thoại 0PP0 A57 (128GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng,Minh Trang Shop99,730000,-1,-1,oppo,A57,4,128,"ColorOS 12.1, nền tảng Android 12",6.56,12,5000
139,https://img.lazcdn.com/g/p/09690e5a3d594637b503730822509ecc.jpg_720x720q80.jpg_.webp,"Điện thoại Ss M51 2sim ram 8G/128G, Hàng Chính Hãng, bảo hành 12 tháng Chụp ảnh đẹp, VÂN TAY OK",Thành Đạt Mobile88,700000,1400000,50,-1,M51,8,128,Android 10,6.7,12,7000
140,https://img.lazcdn.com/g/p/c347a3482146258c0e4c6aea17f5ac8b.jpg_720x720q80.jpg_.webp,điện thoại VlV0 Y55 ram 6G rom 128G 2sim đẹp zin,BATTU SHOP,719100,999000,28,-1,Y55,6,128,Android 6.0.1,5.2,-1,2730
141,https://img.lazcdn.com/g/p/2bc1a42bf709a2a73bef678b0b640c0e.jpg_720x720q80.jpg_.webp,Poco X3 Pro 8GB + 128GB | Dual Sim LTE NFC - Qualcomm®Snapdragon™860 | Tốc Độ Làm Mới 120Hz | Pin 4800MAh,Burley Stark,933951,999999,7,-1,X3 Pro,8,128,-1,-1,-1,4800
142,https://img.lazcdn.com/g/p/e36fb21ec1518c4be14f505986c56369.jpg_720x720q80.jpg_.webp,"Oukitel WP28S Điện thoại SIÊU BỀN(chống nước,chống sốc,pin 10600mAh, Màn hình 6,52"" HD, Camera 13MP ,Android 14,NFC)",Duy Chiến Mobile,1090000,2018000,46,oukitel,WP28S,16,128,Android 14,6.52,-1,10600
143,https://img.lazcdn.com/g/p/14502e16da2f013d6b77bf07b5f08305.jpg_720x720q80.jpg_.webp,"Điện thoại oukitel  wp21 (Ram 12Gb,Rom 256Gb ,chống sốc,chống nước,pin khủng, pin 9.800mAh)",Nguyễn Vĩ Mobile,1109000,2218000,50,oukitel,wp21,12,256,-1,-1,-1,-1
144,https://img.lazcdn.com/g/p/0d5701acf11a985233e8a97782ca1d35.jpg_720x720q80.jpg_.webp,"Điện thoại siêu phẩm SS_ z f0ld 5 (12GB/256GB)-Chính Hãng, mới 100% bảo hành 12 tháng toàn quốc",Minh Trang Shop99,1600000,-1,-1,samsung,ss_z f0ld 5,12,256,Android 13,7.6,12,4400
145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
146,https://img.lazcdn.com/g/p/9f964693d73c793911f41724175521e6.jpg_720x720q80.jpg_.webp,Kính camera rời / kính không vành Redmi K30 pro,Linh Kiện_0932023678,25000,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1
147,https://img.lazcdn.com/g/ff/kf/Sa763019413474a7486b4b2e060c77066B.jpg_720x720q80.jpg_.webp,"Điện Thoại XIAOMI POCO C75 (8GB+256GB) | Màn hình 6,88"" | Pin 5160mAh | Camera kép 50MP",Rex.Home,2290585,4599000,50,-1,C75,8,256,ANDROID 14,6.88,-1,5160
148,https://img.lazcdn.com/g/p/448150a59731e5622f60b1f9e572afb6.jpg_720x720q80.jpg_.webp,[Chính hãng] Điện thoại Opp0 FFIND N5 (16GB/512GB) - Hàng chính hãng,Trường An Mobile,1600000,3200000,50,oppo,Find N5,16,512,"ColorOS 15, nền tảng Android 15",8.12,-1,5600
150,https://img.lazcdn.com/g/p/6735baa6efed6ebce04a87b5f3bbe71d.jpg_720x720q80.jpg_.webp,Chính hãng S22 Ultra Smart Game bộ nhớ lớn 12+256GB Điện thoại 6.7inch WiFi 2 SIM Android máy ảnh HDgiá rẻ,Quốc Anh Mobile,829000,1658000,50,samsung,S22 Ultra,12,256,Android,6.7,-1,-1
151,https://img.lazcdn.com/g/p/635872d7385961eccb0a933ab641f3ab.jpg_720x720q80.jpg_.webp,"Điện thoại Redmi_n0te 14 pro  Ram 12GB/512GB pin 5110 mAh máy chính hãng, bảo hành 12 tháng",Trường An Mobile,1300000,2600000,50,xiaomi,Redmi Note 14 Pro,12,512,Xiaomi HyperOS (Android 14),-1,12,5110
152,https://img.lazcdn.com/g/ff/kf/S4d164a190abb4520aca759031abc0ee8B.jpg_720x720q80.jpg_.webp,Điện Thoại S23 Ultra Điện Tử Giảm Đến 50% Máy Ảnh HD 4+64 Gb MỚI Sẵn Tiếng Việt Chơi Ngon Lành Học Điện Thoại Mới Giá Rẻ,điện tử kỹ thuật số 3C,1170000,2140000,45,-1,S23 Ultra,16,1024,Android 13,-1,6,6800
153,https://img.lazcdn.com/g/p/e1b036f4d90d6246add04aa67b41a053.jpg_720x720q80.jpg_.webp,"Điện thoại mi Mi 15 Utra Cấu hình mạnh, cày game nặng siêu mượt (16+512GB) | Màn hình 6.73""",Tú Linh Mobile,1600000,3200000,50,xiaomi,Mi 15 Ultra,16,512,-1,6.73,-1,5410
154,https://img.lazcdn.com/g/p/928122795ae5be4be85f3a16fb55a5ea.jpg_720x720q80.jpg_.webp,"Điện thoại SS A32 máy 2sim ram 6G/128G Chính Hãng, mới 100% bảo hành 12 tháng toàn quốc",Duy Chiến Mobile,750000,1500000,50,samsung,A32,6,128,Android 11,6.4,12,5000
156,https://img.lazcdn.com/g/p/1d3dc590396f33e0b4fe9062d507d14f.jpg_720x720q80.jpg_.webp,"Điện thoại siêu phẩm SS_ A55 5G (8Gb/128GB)-hàng chính hãng mới 100%, Bảo hành chính hãng 12 tháng.trên toàn quốc",Duy Chiến Mobile,1100000,2200000,50,samsung,SS_ A55 5G,8,-1,Android 14,6.6,12,5000
157,https://img.lazcdn.com/g/p/ed2516b73da91b0c87a55dbf0bb08c55.jpg_720x720q80.jpg_.webp,điện thoại Samsunq J7 prime 2sim ram 3G bộ nhớ trong 32GB nguyên zin đẹp keng,Nguyên Lê Store,711569,1480000,52,samsung,J7 prime,3,32,-1,5.5,12,3300
159,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1
160,https://img.lazcdn.com/collect/social-img/88ec8c5f39c547e5b455ce1abb0798db_0d2c70c361e64c4f8bc8400e48be9e3c.png_720x720q80.png_.webp,dienthoaigiare J2prime_g532  hõ trợ thẻ nhớ  zalo facebok tiktok ... nghe gọi vào mạng tải app ok,LPK_dienthoaigiare,299999,339000,12,samsung,J2prime_g532,-1,8,Android 6.0 (Marshmallow),5.0,3,-1
161,https://img.lazcdn.com/g/p/724767a6ee1a8450f63d74b616647f8d.jpg_720x720q80.jpg_.webp,"Điện thoại SS A32 máy 2sim ram 6G/128G Chính Hãng, VÂN TAY OK",Nguyễn Vĩ Mobile,800000,1600000,50,samsung,A32,6,128,Android 11,6.4,-1,5000
162,https://img.lazcdn.com/g/p/62bd2f67fb10ab50fee224efd2bcac72.jpg_720x720q80.jpg_.webp,Kính lưng Xiaomi REDMi 8 SE,Linh Kiện_0932023678,95000,-1,-1,xiaomi,REDMi 8 SE,-1,-1,-1,-1.0,-1,-1
164,https://img.lazcdn.com/g/ff/kf/Sf90e5ddf97d849a383c791959c7c4dd94.jpg_720x720q80.jpg_.webp,Điện Thoại Samsung Galaxy S22 Ultra 5G Mỹ 2 sim Chính Hãng | Snapdragon 8 Gen 1 Tại Playmobile,PlayMobile - smartphone,14690000,-1,-1,samsung,Galaxy S22 Ultra,-1,128,Android 12,6.8,-1,5000
165,https://img.lazcdn.com/g/p/50669defcef910475e96d2dbf037cb02.png_720x720q80.png_.webp,Điện thoại Samsung Galaxy A7 (2018) Máy Cũ Tân Trang,Smartchoice 247,994000,1988000,50,samsung,Galaxy A7 (2018),4,64,-1,-1.0,-1,3300
166,https://img.lazcdn.com/g/ff/kf/Sc87c41814d914ae1be22fec6b6e77a0d0.jpg_720x720q80.jpg_.webp,"S23 Smartphone siêu Việt, màn hình 6.8 inch độ nét cao, trang bị hệ điều hành Android 13 mở khóa, camera 72MP và viên pin 6800mAh, cho bạn tận hưởng nhiều niềm vui hơn",thành phố điện tử kỹ thuật số,1300000,2200000,41,samsung,-1,-1,-1,Android 13,6.8,-1,4500
167,https://img.lazcdn.com/g/p/6c801c701ec143648e423fcb82772dcc.jpg_720x720q80.jpg_.webp,S23 Ultra HD điện thoại 7.3 inch bộ nhớ lớn 16 + 1TB Android điện thoại máy ảnh 48+108MP HD Pixel điện thoại di động,Quốc Anh Mobile,928000,1856000,50,samsung,S23 Ultra HD,-1,-1,Android,7.3,-1,-1
168,https://img.lazcdn.com/g/ff/kf/S36a802a54b0a4a45abbb78e1ee6074f4Z.jpg_720x720q80.jpg_.webp,Điện thoại cũ ss j7 prime ram 3gb bộ nhớ 32gb,Minh Quân Mobile 1604193704,619000,659000,6,samsung,J7 Prime,3,32,-1,-1,-1,-1
169,https://img.lazcdn.com/g/p/3d48e09df533a8cadb03a3e93b70f8a5.jpg_720x720q80.jpg_.webp,Pin Oppo BLP563 - Oppo Find 5 mini / R827 (2000mAh) Dung lượng chuẩn bảo hành 1 đổi 1,LK Điện Thoại Tuấn Kiệt,105000,-1,-1,oppo,Find X5 mini / R827,-1,-1,-1,-1,-1,2000
170,https://img.lazcdn.com/g/p/3c11428cf93298eb2804c6d9324a66b1.jpg_720x720q80.jpg_.webp,Hộp Thoại IDF 50 đôi đầy đủ đế gắn và phiến cao cấp bảo hành lâu dài 1 đổi 1,Vật Tư Viễn Thông FiberTel,247000,-1,-1,-1,50,-1,-1,-1,-1,-1,-1
171,https://img.lazcdn.com/g/p/9c50db32410076009a375cd2108b9da0.jpg_720x720q80.jpg_.webp,"[ RẺ HỦY DIỆT ] điện thoại 4G Samsung Galaxy A7 (A750) 2sim ram 4G/64G Chính Hãng, Chiến Game mượt, Chụp ảnh siêu đẹp -bsnt PN",BSNT.PN,229000,-1,-1,samsung,Galaxy A7 (A750),4,64,Android 8 (Oreo),6.0,-1,3300
172,https://img.lazcdn.com/g/p/9d8b468409e5d76a8a15788e78a9ba0a.jpg_720x720q80.jpg_.webp,Điện Thoại Samsung A10 2 Sim 4G Ram 2 GB Bộ Nhớ 32 GB,Điện Thoại Giá Thợ,715000,-1,-1,samsung,A10,2,32,Android 9 (Pie),6.2,-1,3400
173,https://img.lazcdn.com/g/p/2ac29dc3ba874c9817e99e3004654312.jpg_720x720q80.jpg_.webp,Cute little sugar mamas iphone14 apple 13 x apply promax following from 12 hot style seven plus transparent 8/11 drop xr soft 6 the niche xsmax splus senior feeling se3 new female 2,ergtrhtw,71494,89368,20,apple,iphone14,-1,-1,-1,-1,-1,-1
174,https://img.lazcdn.com/g/p/a819fad4b27b1ec18e35d18ddb8f56a5.jpg_720x720q80.jpg_.webp,[Chính hãng]Điện thoại 0PP0_Ren0 13 5G (12gb/256gb) -hàng mới 100%(bảo hành  12 tháng Lỗi 1 đổi 1 trong 30 ngày),Bình Minh Mobile 88,1400000,2800000,50,-1,...,8,256,Android 15,6.72,12,4500
175,https://img.lazcdn.com/g/p/46adb94ff5bb2bb07e7386372409f852.jpg_720x720q80.jpg_.webp,"Điện thoạimi Mi 14 Utra Cấu hình mạnh, cày game nặng siêu mượt  (16+512GB) | Màn hình 6.73""",Tú Linh Mobile,1400000,2800000,50,xiaomi,Mi 14 Ultra,16,512,-1,6.73,-1,-1
176,https://img.lazcdn.com/g/ff/kf/S50d21acd0c0f41ab8dd77ae2d2c1e5eeY.jpg_720x720q80.jpg_.webp,Hộp Thoại IDF 50 đôi đầy đủ đế gắn và phiến,Vật Tư Viễn Thông FiberTel,247000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
177,https://img.lazcdn.com/g/p/939d435e2e7f9dd5c3dbb518d932dd6f.jpg_720x720q80.jpg_.webp,"Điện thoại chắc chắn Oukitel WP28 S (Màn hình HD 6,52"",pin 10600mAh,NFC,Ram 16GB(4+12),Rom 128GB, Android 14, Camera13M)",Nguyễn Vĩ Mobile,1009000,2018000,50,oukitel,WP28 S,16,128,Android 14,6.52,-1,10600
178,https://img.lazcdn.com/g/p/10d35d63be0423d4a0df1d568beec0e5.jpg_720x720q80.jpg_.webp,"Điện thoại Redmi_n0te 13pr Ram 8GB/128GB pin 5100 mAh máy chính hãng mới 100% , bảo hành 12 tháng toàn quốc",Bình Minh Mobile 88,1200000,2400000,50,xiaomi,Redmi_n0te 13pr,8,256,Android 13,6.67,12,5100
179,https://img.lazcdn.com/g/p/10d35d63be0423d4a0df1d568beec0e5.jpg_720x720q80.jpg_.webp,"Điện thoại Redmi_n0te 13pr Ram 8GB/128GB pin 5100 mAh máy chính hãng mới 100% , bảo hành 12 tháng toàn quốc",Minh Trang Shop99,1200000,-1,-1,xiaomi,n0te 13pr,8,256,Android 13,6.67,12,5100
180,https://img.lazcdn.com/g/p/f76a01f1fcc8604a703c5fe313be751a.jpg_720x720q80.jpg_.webp,"Điện thoại Red.mi Note 11 pro 2sim ram 8G/128G, Cấu hình mạnh, cày game nặng siêu mượt, VÂN TAY OK",Nguyễn Vĩ Mobile,800000,1600000,50,xiaomi,Note 11 Pro,8,128,"Android 11, MIUI 12.5",6.67,-1,5000
